Track,Race#,Distance,Box,Dog Name,HistoricalPaceAvg,NumPaces,MostRecentPace,Best3RacePace,Last5PaceValues,RecentWins,RecentRaces,WinRate%,Last5Results,StartingPrice,PaceScore(0-1),FormScore(0-1),WeightedScore(0-1)
Mandurah,3,400,8,SMELL LIKE ROSE,-19.9961,5.0,-18.6613,-15.6096,-18.66|-15.61|-20.87|-29.72|-15.12,0,5,0.0,22325,4.8,0.2832,0.0,0.1982
Gosford,1,388,6,BLACKPOOL GIGI,-20.0365,5.0,-13.8288,-11.7749,-13.83|-11.77|-16.14|-29.79|-28.64,0,5,0.0,32566,4.8,0.2822,0.0,0.1975
Gosford,10,388,3,FLYING WINGLESS,-20.1955,5.0,-27.3463,-18.7755,-27.35|-23.27|-18.78|-16.6|-14.98,0,5,0.0,66787,1.5,0.2782,0.0,0.1947
Mandurah,6,488,5,FLAME ON,-23.6696,5.0,-19.4368,-19.4368,-19.44|-25.29|-20.93|-22.45|-30.24,1,5,20.0,3W876,3.8,0.1913,0.2,0.1939
Angle Park,7,342,1,KAISON'S CURSE,-21.334,5.0,-22.4093,-17.9265,-22.41|-17.93|-22.42|-24.62|-19.29,0,5,0.0,66356,4.4,0.2497,0.0,0.1748
Mandurah,6,488,1,SNAPPY SNACKER,-21.5413,5.0,-23.5493,-17.6096,-23.55|-17.61|-25.85|-20.71|-19.98,0,5,0.0,36654,3.9,0.2446,0.0,0.1712
Mandurah,6,488,7,UNJUST,-22.6656,5.0,-23.9778,-20.2939,-23.98|-22.47|-20.29|-32.15|-14.44,0,5,0.0,47452,3.2,0.2164,0.0,0.1515
Angle Park,1,342,7,SILENT COMEDY,-25.7976,5.0,-22.1235,-22.1235,-22.12|-24.42|-28.35|-27.02|-27.07,0,5,0.0,54644,4.8,0.1381,0.0,0.0967
Mandurah,3,400,5,FRECKLES MONELLI,-31.3205,5.0,-19.6613,-12.7216,-19.66|-12.72|-80.55|-33.83|-9.84,0,5,0.0,23872,4.4,0.0,0.0,0.0
Angle Park,1,342,5,SEBON EMBER,,,,,,0,4,0.0,2556,2.76,,0.0,
Bulli,1,340,4,DARK CINNAMON,,,,,,0,3,0.0,684,2.46,,0.0,
Bulli,2,400,1,TIGER SPOON,,,,,,0,0,0.0,,3.0,,0.0,
